heading,link,time,source
"APPLICATIONS ARE OPEN FOR THE RATTI CHHATR SCHOLARSHIP 2024-25! FIRST-YEAR B.E./B.TECH. STUDENTS AT IITS CAN APPLY TILL AUGUST 15, 2024.",https://www.buddy4study.com/page/ratti-chhatr-scholarship,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE MUSKAAN SCHOLARSHIP PROGRAM 2024! STUDENTS IN CLASSES 9 TO 12 FROM THE SOUTHERN, EASTERN, AND NORTH-EASTERN STATES OF INDIA CAN APPLY TILL SEPTEMBER 3, 2024.",https://www.buddy4study.com/page/muskaan-scholarship-program,Not available,Buddy4study
"APPLICATIONS FOR THE IDFC FIRST BANK MBA SCHOLARSHIP 2024-26 ARE NOW OPEN! STUDENTS ENROLLED IN THE FIRST YEAR OF A TWO-YEAR FULL-TIME MBA COURSE CAN APPLY TILL JULY 31, 2024.",https://www.buddy4study.com/page/idfc-first-bank-mba-scholarship,Not available,Buddy4study
"PARTICIPATE IN TOEFL INDIA CHAMPIONSHIP! WIN PRIZE MONEY WORTH INR 15 LACS TO UNLOCK YOUR STUDY ABROAD DREAMS. APPLICATIONS OPEN TILL JULY 31, 2024.",https://www.buddy4study.com/page/toefl-india-championship,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE TATA CAPITAL PANKH SCHOLARSHIP PROGRAM 2024-25! STUDENTS STUDYING IN CLASSES 11 AND 12 OR PURSUING GENERAL GRADUATION/DIPLOMA/ITI COURSES CAN APPLY TILL SEPTEMBER 15, 2024.",https://www.buddy4study.com/page/the-tata-capital-pankh-scholarship-programme,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE KOTAK LIFE INSURANCE SCHOLARSHIP PROGRAM 2024-25! STUDENTS FROM TAMIL NADU AND MAHARASHTRA IN THE FIRST YEAR OF A B.COM. COURSE AT EIGHT SPECIFIED COLLEGES CAN APPLY TILL JULY 31, 2024.",https://www.buddy4study.com/page/kotak-life-insurance-scholarship-program,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE RAMAN KANT MUNJAL SCHOLARSHIPS 2024-25! STUDENTS PURSUING FINANCE-RELATED UG COURSES CAN APPLY TILL AUGUST 02, 2024.",https://www.buddy4study.com/page/raman-kant-munjal-scholarships,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE AADHAR KAUSHAL SCHOLARSHIP PROGRAM FOR YOUTH WITH DISABILITIES! STUDENTS WITH PHYSICAL DISABILITIES ENROLLED IN GENERAL OR PROFESSIONAL UNDERGRADUATE COURSES ACROSS THE COUNTRY CAN APPLY TILL JULY 23, 2024.",https://www.buddy4study.com/page/aadhar-kaushal-scholarship-program-for-youth-with-disabilities,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE HOPE ENGINEERING SCHOLARSHIP BY SCHAEFFLER INDIA! FIRST-YEAR FEMALE ENGINEERING STUDENTS NATIONWIDE CAN APPLY TILL JULY 30, 2024.",https://www.buddy4study.com/page/hope-engineering-scholarship-by-schaeffler-india,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE BUDDY4STUDY - SRM UNIVERSITY ADMISSION SUPPORT PROGRAM! STUDENTS WHO WISH TO ENROLL IN UG, PG AND PHD COURSES AT SRM UNIVERSITY, SONEPAT CAN APPLY TILL OCTOBER 30, 2024.",https://www.buddy4study.com/page/buddy4study-srm-university-admission-support-program,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE SI-GLOBAL INTERNATIONAL ADMISSION SUPPORT PROGRAM! INDIAN STUDENTS SEEKING TO PURSUE STUDIES ABROAD CAN APPLY TILL AUGUST 31, 2024.",https://www.buddy4study.com/page/si-global-international-admission-support-program,Not available,Buddy4study
"APPLICATIONS ARE OPEN FOR THE BHARTI AIRTEL SCHOLARSHIP PROGRAM 2024-25! STUDENTS ENROLLED IN TECHNOLOGY-BASED ENGINEERING UG COURSES AND 5-YEAR INTEGRATED PROGRAMS IN THE TOP 50 NIRF ENGINEERING INSTITUTES, INCLUDING IITS, CAN APPLY TILL AUGUST 31, 2024.",https://www.buddy4study.com/page/bharti-airtel-scholarship,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE SCHAEFFLER INDIA SOCIAL INNOVATOR FELLOWSHIP PROGRAM 2024! APPLICANTS BELONGING TO THE AGE GROUP OF 18 TO 35 YEARS CAN APPLY TILL AUGUST 15, 2024.",https://www.buddy4study.com/page/schaeffler-india-social-innovator-fellowship-program,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE APPINVENTIV ‘EDU BOOST’ SCHOLARSHIP PROGRAM 2024-25! STUDENTS CURRENTLY IN THE FIRST YEAR OF THEIR B.TECH. OR BCA COURSES CAN APPLY TILL SEPTEMBER 30, 2024.",https://www.buddy4study.com/page/appinventiv-edu-boost-scholarship-program,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE UJJIVAN SMALL FINANCE BANK TRANSGENDER SCHOLARSHIP 2024-25! TRANSGENDER STUDENTS CURRENTLY STUDYING IN CLASSES 9 TO 12 OR PURSUING GRADUATION/POSTGRADUATION CAN APPLY TILL JULY 31, 2024.",https://www.buddy4study.com/page/ujjivan-small-finance-bank-transgender-scholarship,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE 'LIFE’S GOOD' SCHOLARSHIP PROGRAM 2024! STUDENTS PURSUING UNDERGRADUATE OR POSTGRADUATE COURSES AT SELECT INSTITUTES CAN APPLY TILL JULY 20, 2024.",https://www.buddy4study.com/page/life-s-good-scholarship-program,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE HDFC BANK PARIVARTAN'S ECSS PROGRAMME 2024-25! SCHOOL STUDENTS FROM CLASSES 1 TO 12 AND THOSE PURSUING DIPLOMA, ITI, POLYTECHNIC, UG, AND PG (GENERAL AND PROFESSIONAL) PROGRAMMES CAN APPLY TILL SEPTEMBER 4, 2024.",https://www.buddy4study.com/page/hdfc-bank-parivartans-ecss-programme,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE KOTAK KANYA SCHOLARSHIP 2024-25! GIRL STUDENTS WHO HAVE PASSED CLASS 12 AND ASPIRE TO PURSUE PROFESSIONAL GRADUATION COURSES CAN APPLY TILL SEPTEMBER 30, 2024.",https://www.buddy4study.com/page/kotak-kanya-scholarship,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE RATTI CHHATR SCHOLARSHIP 2024-25! FIRST-YEAR B.E./B.TECH. STUDENTS AT IITS CAN APPLY TILL AUGUST 15, 2024.",https://www.buddy4study.com/page/ratti-chhatr-scholarship,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE MUSKAAN SCHOLARSHIP PROGRAM 2024! STUDENTS IN CLASSES 9 TO 12 FROM THE SOUTHERN, EASTERN, AND NORTH-EASTERN STATES OF INDIA CAN APPLY TILL SEPTEMBER 3, 2024.",https://www.buddy4study.com/page/muskaan-scholarship-program,Not available,buddy4study
"APPLICATIONS FOR THE IDFC FIRST BANK MBA SCHOLARSHIP 2024-26 ARE NOW OPEN! STUDENTS ENROLLED IN THE FIRST YEAR OF A TWO-YEAR FULL-TIME MBA COURSE CAN APPLY TILL JULY 31, 2024.",https://www.buddy4study.com/page/idfc-first-bank-mba-scholarship,Not available,buddy4study
"PARTICIPATE IN TOEFL INDIA CHAMPIONSHIP! WIN PRIZE MONEY WORTH INR 15 LACS TO UNLOCK YOUR STUDY ABROAD DREAMS. APPLICATIONS OPEN TILL JULY 31, 2024.",https://www.buddy4study.com/page/toefl-india-championship,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE TATA CAPITAL PANKH SCHOLARSHIP PROGRAM 2024-25! STUDENTS STUDYING IN CLASSES 11 AND 12 OR PURSUING GENERAL GRADUATION/DIPLOMA/ITI COURSES CAN APPLY TILL SEPTEMBER 15, 2024.",https://www.buddy4study.com/page/the-tata-capital-pankh-scholarship-programme,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE KOTAK LIFE INSURANCE SCHOLARSHIP PROGRAM 2024-25! STUDENTS FROM TAMIL NADU AND MAHARASHTRA IN THE FIRST YEAR OF A B.COM. COURSE AT EIGHT SPECIFIED COLLEGES CAN APPLY TILL JULY 31, 2024.",https://www.buddy4study.com/page/kotak-life-insurance-scholarship-program,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE RAMAN KANT MUNJAL SCHOLARSHIPS 2024-25! STUDENTS PURSUING FINANCE-RELATED UG COURSES CAN APPLY TILL AUGUST 02, 2024.",https://www.buddy4study.com/page/raman-kant-munjal-scholarships,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE AADHAR KAUSHAL SCHOLARSHIP PROGRAM FOR YOUTH WITH DISABILITIES! STUDENTS WITH PHYSICAL DISABILITIES ENROLLED IN GENERAL OR PROFESSIONAL UNDERGRADUATE COURSES ACROSS THE COUNTRY CAN APPLY TILL JULY 23, 2024.",https://www.buddy4study.com/page/aadhar-kaushal-scholarship-program-for-youth-with-disabilities,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE HOPE ENGINEERING SCHOLARSHIP BY SCHAEFFLER INDIA! FIRST-YEAR FEMALE ENGINEERING STUDENTS NATIONWIDE CAN APPLY TILL JULY 30, 2024.",https://www.buddy4study.com/page/hope-engineering-scholarship-by-schaeffler-india,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE BUDDY4STUDY - SRM UNIVERSITY ADMISSION SUPPORT PROGRAM! STUDENTS WHO WISH TO ENROLL IN UG, PG AND PHD COURSES AT SRM UNIVERSITY, SONEPAT CAN APPLY TILL OCTOBER 30, 2024.",https://www.buddy4study.com/page/buddy4study-srm-university-admission-support-program,Not available,buddy4study
"APPLICATIONS ARE OPEN FOR THE SI-GLOBAL INTERNATIONAL ADMISSION SUPPORT PROGRAM! INDIAN STUDENTS SEEKING TO PURSUE STUDIES ABROAD CAN APPLY TILL AUGUST 31, 2024.",https://www.buddy4study.com/page/si-global-international-admission-support-program,Not available,buddy4study
Recruitment for the post of Assistant on Direct Recruitment basis,https://www.niepa.ac.in/non_teaching_per.aspx,Not available,NIEPA
Recruitment for the post of Lower Division Clerk (LDC) on Direct Recruitment basis,https://www.niepa.ac.in/non_teaching_per.aspx,Not available,NIEPA
"APPLICATIONS ARE OPEN FOR THE AADHAR KAUSHAL SCHOLARSHIP PROGRAM FOR YOUTH WITH DISABILITIES! STUDENTS WITH PHYSICAL DISABILITIES ENROLLED IN GENERAL OR PROFESSIONAL UNDERGRADUATE COURSES ACROSS THE COUNTRY CAN APPLY TILL AUGUST 5, 2024.",https://www.buddy4study.com/page/aadhar-kaushal-scholarship-program-for-youth-with-disabilities,Not available,buddy4study
"Shri Dharmendra Pradhan presides over signing of Letter of Intent between Atal Innovation Mission and World Intellectual Property Organization  (Monday,22-July-2024 ) - (119.65 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2035359.pdf ,"Monday,22-July-2024",Education Ministry
"Dr. Sukanta Majumdar inaugurates workshop on Writing of Textbooks in Bharatiya Bhasha for Higher Education  (Tuesday,16-July-2024 ) - (94.14 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2033732.pdf ,"Tuesday,16-July-2024",Education Ministry
"Shri Dharmendra Pradhan hails Budget 2024-25 as pivotal milestone on India's path to becoming a developed nation by 2047  (Tuesday,23-July-2024 ) - (90.3 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2036125.pdf ,"Tuesday,23-July-2024",Education Ministry
"APPLICATIONS ARE OPEN FOR THE 'LIFE’S GOOD' SCHOLARSHIP PROGRAM 2024 (PHASE 2)! STUDENTS PURSUING UNDERGRADUATE OR POSTGRADUATE COURSES AT SELECT INSTITUTES CAN APPLY TILL AUGUST 27, 2024.",https://www.buddy4study.com/page/life-s-good-scholarship-program,Not available,buddy4study
Reopening of Portal for New Institutions Offering  BBA/BCA/BMS Programs,https://www.aicte-india.org/sites/default/files/Public%20Notice%20BBABCA.pdf,"Wednesday, July 24, 2024",AICTE
Global Developer Corps (GDC) Artificial Intelligence Workforce Scheme,https://www.aicte-india.org/sites/default/files/Global%20Developer%20Corps%20(GDC).pdf,"Wednesday, July 24, 2024",AICTE
"Notification for Online Assessment Test (AT) for Certificate Course on Forensic Accounting and Fraud Detection on Saturday, the 24th August, 2024 - (25-07-2024)",https://resource.cdn.icai.org/81230daab65450.pdf,25-07-2024,ICAI
"APPLICATIONS ARE OPEN FOR THE MOHAN T ADVANI CENTENNIAL SCHOLARSHIP PROGRAMME! FIRST AND SECOND-YEAR STUDENTS ENROLLED IN DEGREE OR DIPLOMA PROGRAMMES IN ARCHITECTURE AND ENGINEERING AT SELECT PRIVATE OR GOVERNMENT COLLEGES CAN APPLY TILL AUGUST 20, 2024.",https://www.buddy4study.com/page/mohan-t-advani-centennial-scholarship-programme,Not available,buddy4study
"Click here to download Admit Card for the Post of Assistant Secretary (Academics, Training and Skill Education)  25/07/2024",https://examinationservices.nic.in/recsys24/downloadAdmitCard/frmAuthforCity.aspx?appformid=102112411,25/07/2024,CBSE
"Click here to download Admit Card for Administrative Posts (Group A, B & C)  25/07/2024",https://examinationservices.nic.in/recsys24/downloadAdmitCard/frmAuthforCity.aspx?appformid=102122411,25/07/2024,CBSE
Full & Final Settlement of Payment for Centre Charges for Board's Examinations 2023-24 through updated Integrated Payment System (IPS) (393 KB)  25/07/2024,https://www.cbse.gov.in/cbsenew/documents/Centre_charges_2024_final_instalment_IPS_25072024.pdf,25/07/2024,CBSE
"Click here to download Admit Card with Examination City Display for the Post of Assistant Secretary (Academics, Training and Skill Education)  25/07/2024",https://examinationservices.nic.in/recsys24/downloadAdmitCard/frmAuthforCity.aspx?appformid=102112411,25/07/2024,CBSE
"Click here to download Admit Card with Examination City Display for Administrative Posts (Group A, B & C)  25/07/2024",https://examinationservices.nic.in/recsys24/downloadAdmitCard/frmAuthforCity.aspx?appformid=102122411,25/07/2024,CBSE
Full & Final Settlement of Payment for Centre Charges for Board's Examinations 2023-24 through updated Integrated Payment System (IPS) (393 KB)  25/07/2024,https://www.cbse.gov.in/cbsenew/documents/centre_charges_2024_final_instalment_IPS_25072024.pdf,25/07/2024,CBSE
"APPLICATIONS ARE OPEN FOR THE KOTAK LIFE INSURANCE SCHOLARSHIP PROGRAM 2024-25! STUDENTS FROM TAMIL NADU AND MAHARASHTRA IN THE FIRST YEAR OF A B.COM. COURSE AT EIGHT SPECIFIED COLLEGES CAN APPLY TILL AUGUST 15, 2024.",https://www.buddy4study.com/page/kotak-life-insurance-scholarship-program,Not available,buddy4study
Result of the Rolling advertisement of Project Computer Operator/Clerk,https://www.niepa.ac.in/recprosc.aspx,Not available,NIEPA
The last date to fill out the application for AICTE IDEA Lab has been extended to 8th August 2024 till 5 PM,No link available,"Friday, July 26, 2024",AICTE
Department: MAH-B.BCA/BBA/BMS/BBM CET Subject: Mock test Link for Additional MAH-B.BCA/BBA/BMS/BBM CET-2024,https://mock.mhexam.com/BCABBABMS/,29/07/2024,MahaCET
"Ministry of Education to celebrate 4th Anniversary of National Education Policy 2020 with Akhil Bhartiya Shiksha Samagam 2024  (Wednesday,24-July-2024 ) - (61.56 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2038126.pdf ,"Wednesday,24-July-2024",Education Ministry
List of institutes running Planning Courses,https://www.aicte-india.org/sites/default/files/List%20of%20institutes%20running%20Planning%20courses.pdf,"Monday, July 29, 2024",AICTE
"APPLY FOR BUDDY4STUDY'S ONLINE DEGREE SCHOLARSHIP SUPPORT PROGRAMME AND GET UP TO 15% SCHOLARSHIP ON FIRST-SEMESTER FEE! APPLICATIONS OPEN TILL AUGUST 15, 2024 FOR STUDENTS SEEKING TO ENROL IN UG/PG ONLINE COURSES AT INDIA TOP UGC-APPROVED UNIVERSITIES.",https://www.buddy4study.com/page/online-degree-scholarship-support-programme,Not available,buddy4study
Recruitment for the post of Chief Consultant (IT)(Last date: 13-08-24),https://www.niepa.ac.in/recprosc.aspx,Not available,NIEPA
Recruitment for the post of Chief Consultant (IT),https://www.niepa.ac.in/recprosc.aspx,Not available,NIEPA
"Ministry of Education’s IKS Division Releases Books at Akhil Bhartiya Shiksha Samagam 2024  (Monday,29-July-2024 ) - (70.86 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2038710.pdf ,"Monday,29-July-2024",Education Ministry
"SATHEE - A Coaching Portal  (Monday,29-July-2024 ) - (67 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2038629.pdf ,"Monday,29-July-2024",Education Ministry
"Ministry of Education celebrates 4th anniversary of National Education Policy 2020  with Akhil Bhartiya Shiksha Samagam 2024  (Monday,29-July-2024 ) - (144.33 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2038459.pdf ,"Monday,29-July-2024",Education Ministry
"Ministry of Education celebrates 4th anniversary of National Education Policy 2020  with Akhil Bhartiya Shiksha Samagam 2024  (Tuesday,30-July-2024 ) - (144.33 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2038459.pdf ,"Tuesday,30-July-2024",Education Ministry
PM e-VIDYA CBSE15 TV Channel Schedule for AUGUST 2024 (CBSE Training Division)-reg. (156 KB)  30/07/2024,https://www.cbse.gov.in/cbsenew/documents/PM_Evidya.pdf,30/07/2024,CBSE
Grant For Organizing Conference (GOC)2024 Registration Form,https://docs.google.com/forms/d/e/1FAIpQLSe6wfhkkRKGM_74Q5-_TPwlMy2zh4R-laZgOC33IkmocaloLw/viewform,"Wednesday, July 31, 2024",AICTE
Department: B.E./B.Tech Subject: Important Notice regarding admission of B.E./B.Tech. A.Y. 2024-25,https://cetcell.mahacet.org/wp-content/uploads/2023/12/neet-जाहिर-सुचना.pdf,31/07/2024,MahaCET
"Shri Dharmendra Pradhan launches NATS 2.0 portal, disburses Rs. 100 Cr Stipends through DBT to young graduates and diploma holders for on-the-job training  (Tuesday,30-July-2024 ) - (131.5 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2039276.pdf ,"Tuesday,30-July-2024",Education Ministry
"Panel discussions held on GER and Ranking and Accreditation at Akhil Bhartiya Shiksha Samagam 2024 indicate important takeaways  (Tuesday,30-July-2024 ) - (72.13 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2039220.pdf ,"Tuesday,30-July-2024",Education Ministry
"APPLICATIONS ARE OPEN FOR THE UJJIVAN SMALL FINANCE BANK TRANSGENDER SCHOLARSHIP 2024-25! TRANSGENDER STUDENTS CURRENTLY STUDYING IN CLASSES 9 TO 12 OR PURSUING GRADUATION/POSTGRADUATION CAN APPLY TILL AUGUST 7, 2024.",https://www.buddy4study.com/page/ujjivan-small-finance-bank-transgender-scholarship,Not available,buddy4study
"Steps To Integrate Technology Into The New Education System  (Wednesday,31-July-2024 ) - (69.33 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2039811.pdf ,"Wednesday,31-July-2024",Education Ministry
"Advertisement for the post of Consultants in EdCIL on Contractual Basis in Technical Support Group, 2024 - Samagra Shiksha (TSG - SS) Project, Department of School Education and Literacy, Ministry of Education, Government of India, New Delhi  (Thursday,01-August-2024 ) - (293.97 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/Tsg-ss.pdf ,"Thursday,01-August-2024",Education Ministry
"APPLICATIONS ARE OPEN FOR THE ASPIRE SCHOLARSHIP PROGRAM 2024-25! STUDENTS ENROLLING IN THE FIRST-YEAR OF B.TECH. COURSES AT SELECTED INSTITUTIONS CAN APPLY TILL SEPTEMBER 10, 2024.",https://www.buddy4study.com/page/aspire-scholarship-program,Not available,buddy4study
"Notification for Online Assessment Test (AT) for Certificate Course on Derivatives on 18th August 2024. - 10:00 AM to 1:00 PM through DLH, Organized by Committee on Financial Markets and Investorsâ€™ Protection - (01-08-2024)",https://resource.cdn.icai.org/81363cfmip65555.pdf,01-08-2024,ICAI
"Click here to download Admit Card for the Post of Assistant Secretary (Academics, Training and Skill Education)  01/08/2024",https://examinationservices.nic.in/recsys24/downloadAdmitCard/AuthCandCBSE.aspx?appformid=102112411,01/08/2024,CBSE
Click here to download Admit Card for Junior Translation Officer 01/08/2024,https://examinationservices.nic.in/recsys24/downloadAdmitCard/AuthCandCBSE.aspx?appformid=102122411,01/08/2024,CBSE
Advance information of Verification of marks for Supplementary Exam-2024 (543 KB)  01/08/2024,https://www.cbse.gov.in/cbsenew/documents/Advance_Information_Verification_marks_01082024.pdf,01/08/2024,CBSE
"APPLICATIONS ARE OPEN FOR THE INFOSYS FOUNDATION STEM STARS SCHOLARSHIP PROGRAM 2024-25! FEMALE STUDENTS IN THEIR FIRST YEAR OF UG COURSES IN STEM DISCIPLINES CAN APPLY BY SEPTEMBER 15, 2024.",https://www.buddy4study.com/page/infosys-stem-stars-scholarship,Not available,buddy4study
PM e-VIDYA CBSE-15 TV Channel Schedule for AUGUST 2024 (CBSE Training Division)-reg. (156 KB)  30/07/2024,https://www.cbse.gov.in/cbsenew/documents/PM_Evidya.pdf,30/07/2024,CBSE
"APPLICATIONS ARE OPEN FOR THE RAMAN KANT MUNJAL SCHOLARSHIPS 2024-25! STUDENTS PURSUING FINANCE-RELATED UG COURSES CAN APPLY TILL AUGUST 20, 2024.",https://www.buddy4study.com/page/raman-kant-munjal-scholarships,Not available,buddy4study
"Notice for verification of marks, Photocopy of answer books and re-evaluation for Class XII Supplementary - 2024 (1.24 MB) 02/08/2024",https://www.cbse.gov.in/cbsenew/documents/Class_XII_Notice_Verification_Photocopy_Reevaluation_Supplementary_2024_02082024.pdf,02/08/2024,CBSE
"Appointment of Director of IIITD&M, Kurnool, Andhra Pradesh  (Sunday,04-August-2024 ) - (288.58 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/IIITDM_adv.pdf ,"Sunday,04-August-2024",Education Ministry
"Appointment of Director in National Institute of Technology, Andhra Pradesh  (Sunday,04-August-2024 ) - (398.77 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/nit_ap_adv.pdf ,"Sunday,04-August-2024",Education Ministry
Shortlisted and waitlistcd Institutions under AICTE-BIP Schcme,https://www.aicte-india.org/sites/default/files/AICTE%20IBIP%20Letter.pdf,"Thursday, August 1, 2024",AICTE
"Notice for verification of marks, Photocopy of answer books and re-evaluation for Class X Supplementary - 2024 (1.29 MB) 05/08/2024",https://www.cbse.gov.in/cbsenew/documents/Class_X_Notice_Verification_Photocopy_Reevaluation_Supplementary_2024_05082024.pdf,05/08/2024,CBSE
"Declaration of Supplementary Examination Results, Class X, 2024 (932 KB) 05/08/2024",https://www.cbse.gov.in/cbsenew/documents/Declaration_Supplementary_Exam_Result_X_05082024.pdf,05/08/2024,CBSE
"IITs & NITs in North Eastern Region  (Monday,05-August-2024 ) - (65.76 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2042312.pdf ,"Monday,05-August-2024",Education Ministry
"Quality Education  (Wednesday,07-August-2024 ) - (75.39 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2042674.pdf ,"Wednesday,07-August-2024",Education Ministry
"Corrigendum 2: The last date of submission of online application for various positions of Consultants under TSG-Samagra Shiksha has been extended till 12th August 2024.  (Thursday,08-August-2024 ) - (355.16 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/Corrigendum-2.pdf ,"Thursday,08-August-2024",Education Ministry
"Click here to download Admit Card for Various Administrative Posts (Group A, B & C) 08/08/2024",https://examinationservices.nic.in/recsys24/downloadAdmitCard/AuthCandCBSE.aspx?appformid=102122411,08/08/2024,CBSE
Department: BCA/BBA/BMS/BBM Subject: Notice Regarding Tentative dates for display of CET result and CAP Schedule for BCA/BBA/BMS/BBM A.Y. 2024-25,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice_BCA_CAP.pdf,08/08/2024,MahaCET
Guidelines for Children with Special Needs (CwSN) provisions for existing Schools and Schools seeking affiliation with the Board (549 KB) 09/08/2024,https://www.cbse.gov.in/cbsenew/documents/Circular_CWSN_09082024.pdf,09/08/2024,CBSE
Department: B.BCA/BBA/BMS/BBM-CET Subject: Notice of Objection Tracking for B.BCA/BBA/BMS/BBM-CET 2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/CET_QP_Objection_Notice.pdf,09/08/2024,MahaCET
"Shri Dharmendra Pradhan releases India Rankings 2024 in New Delhi  (Tuesday,13-August-2024 ) - (199.75 KB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2044661.pdf ,"Tuesday,13-August-2024",Education Ministry
Circular on use of NCERT books (1.40 MB) 13/08/2024,https://www.cbse.gov.in/cbsenew/documents/Notification_NCERT_13082024.pdf,13/08/2024,CBSE
"Inviting comments/suggestions on Draft Regulation 2024 on “Pay Scales, Service Conditions and Minimum Qualifications for the Appointment of Teachers and Other Academic Staff",https://docs.google.com/forms/d/e/1FAIpQLSfhAjx8ecJMhiAZUQnGD0fPL02sNXjl-JTAXR2du9ZCAd2bgQ/viewform,"Tuesday, August 13, 2024",AICTE
"2025 Round Commonwealth Master's Scholarship in the United Kingdom  (Tuesday,13-August-2024 ) - (1.01 MB)",https://www.education.gov.in/sites/upload_files/mhrd/files/PN-CMS.pdf ,"Tuesday,13-August-2024",Education Ministry
Provisional Result of the Screening for the post of Computer Programmer,https://www.niepa.ac.in/download/Provisional_result_of_the_Screening_Committee_of_Computer_Programmer.pdf,Not available,NIEPA
Department: All Courses Subject: Imp Notice regarding 15th august Independence Day,https://cetcell.mahacet.org/wp-content/uploads/2023/12/20240814011730.pdf,14/08/2024,MahaCET
Department: BCA/BBA/BMS/BBM-CET-2024 Subject: NOTICE MAH-BCA/BBA/BMS/BBM-CET-2024 Objection Redressal,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Objection_BCA-II_Notice-1.pdf,14/08/2024,MahaCET
Department: PGP/PGO/M.Sc.(SLP)/M.Sc.(Audio)& M.Sc.(P&O) CET Subject: NOTICE No. 01 PGP-CET/PGO-CET/M.Sc.(SLP)/M.Sc.(Audio)-CET & M.Sc.(P&O) CET-2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.01-CET-Registration-Process.pdf,16/08/2024,MahaCET
Amendment of SARAS Manual 5.0 in r/o Clause 1.3 (2.20 MB) 16/08/2024,https://www.cbse.gov.in/cbsenew/documents/Saras_Circular13_16082024.pdf,16/08/2024,CBSE
Convocation Pictures 2024,https://convocation.iitd.ac.in/2024/uploads/convopic2024.pdf,Not available,IIT-DELHI
"Public Notice : Display of scanned images of OMR Answer Sheets & display/Challenge of Answer Keys (CBSE Recruitment Examination August, 2024) (828 KB) | Click here 17/08/2024",https://www.cbse.gov.in/cbsenew/documents/Public_Notice_Key_Challenge_17082024.pdf,17/08/2024,CBSE
Department: PGP/PGO/M.Sc.(SLP)/M.Sc.(Audio) & M.Sc.(P&O) CET-2024 Subject: How to Register for PGP-CET/PGO-CET/M.Sc.(SLP)/M.Sc.(Audio)-CET & M.Sc.(P&O) CET-2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Usermanual_pgp_pgo_cet.pdf,19/08/2024,MahaCET
Department: MAH-BCA/BBA/BMS/BBM-CET Subject: REVISED NOTICE MAH-BCA/BBA/BMS/BBM-CET-2024 Objection Redressal,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Objection_BCA-II_Notice-II.pdf,19/08/2024,MahaCET
Department: PGP/PGO/M.Sc.(SLP)/M.Sc.(Audio)& M.Sc.(P&O) CET Subject: NOTICE No. 01 PGP-CET/PGO-CET/M.Sc.(SLP)/M.Sc.(Audio)-CET & M.Sc.(P&O) CET-2024,https://cetcell.mahacet.org/wp-content/uploads/2023/12/Notice-No.01-CET-Registration-Process-2.pdf,16/08/2024,MahaCET
